A00.000 霍乱，由于O1群霍乱弧菌，霍乱生物型所致
Z28.000 由于禁忌证未进行免疫
Z28.100 由于信仰或群体压力使病人决定不进行免疫
Z28.101 由于群体压力使病人决定不进行免疫
Z28.200 由于其他或未特指原因使病人决定不进行免疫
Z28.201 病人决定不进行免疫
Z28.800 由于其他原因未进行免疫
Z28.900 未进行免疫
Z29.000 隔离
Z29.100 预防性免疫治疗
Z29.101 术后免疫治疗
Z29.200 化学治疗，其他预防性的
Z29.200x001 化学预防
Z29.201 预防性抗生素治疗
Z29.800 预防措施，其他特指的
Z29.900 预防措施
Z21.x00 无症状的人类免疫缺陷病毒[HIV]感染状态
Z21.x00x001 无症状人类免疫缺陷病毒阳性
Z30.000 有关避孕的一般咨询和指导
Z30.000x001 计划生育指导
Z30.000x002 有关避孕的初次指导
Z30.000x003 有关避孕的咨询
Z30.100 子宫内避孕装置的放置
Z30.101 安装曼月乐环
Z30.102 安装输卵管内节育器
Z30.103 安装子宫内节育器
Z30.200 绝育
Z30.201 腹腔镜绝育
Z30.202 输卵管绝育
Z30.203 输精管绝育
Z30.300 月经引出
Z30.301 防止妊娠
Z30.302 月经调节
Z30.400 避孕药的监督
Z30.400x001 维持避孕的常规检查
Z30.400x003 避孕药的再次指导
Z30.400x004 避孕装置的再次指导
Z30.500 子宫内避孕装置的监督
Z30.500x011 皮下避孕针埋植术
Z30.501 更换子宫内节育器
Z30.503 取除子宫内节育器
Z30.504 取除皮下避孕针
Z30.505 放置输卵管内避孕器失败
Z30.800 避孕问题，其他的
Z30.800x001 输精管切除术后精子计数
Z30.800x002 放置子宫内避孕装置失败
Z30.800x003 放置输卵管内避孕装置
Z30.800x004 放置输卵管内避孕装置失败
Z30.800x005 放置避孕装置后避孕失败
Z30.900 避孕问题
Z31.000 既往绝育术后的输卵管或输精管成形术
Z31.000x001 输卵管绝育术后复通
Z31.000x004 输精管结扎术后复通
Z31.100 人工授精
Z31.200 试管内授精
Z31.200x003 解冻胚胎移植
Z31.201 采取卵子
Z31.202 ICSI术后
Z31.203 PGD术后
Z31.300 辅助授精方法，其他的
Z31.300x001 输卵管内配子移植
Z31.300x002 受精卵移植
Z31.400 生育调查和检验
Z31.400x003 生育检验
Z31.400x004 生育调查
Z31.401 输卵管吹气术
Z31.402 精子计数
Z31.500 遗传咨询
Z31.600 关于生育的一般咨询和指导
Z31.600x001 关于生育的一般性咨询和指导
Z31.800 生育问题,其他的
Z31.900 生育问题
Z32.000 妊娠（尚）未确认
Z32.000x001 妊娠未确认
Z32.100 确认妊娠
Z34.000 首次正常妊娠的监督
Z34.000x001 首次正常妊娠监督
Z34.800 正常妊娠的监督，其他的
Z34.900 正常妊娠监督
Z34.900x001 妊娠监督
Z35.000 具有不孕症史者的妊娠监督
Z35.100 具有流产结局史者的妊娠监督
Z35.100x001 具有水泡状胎块史的妊娠监督
Z35.101 具有多次人工流产史者的妊娠监督
Z35.102 具有葡萄胎史妊娠监督
Z35.103 具有绒毛膜上皮性疾病史者的妊娠监督
Z35.104 具有自然流产史者的妊娠监督
Z35.200 具有其他不良生殖或产科病史者的妊娠监督
Z35.200x002 具有子宫肌瘤史的妊娠监督
Z35.200x003 具有绒毛膜上皮性疾病史妊娠监督
Z35.200x006 具有胎儿疾病史的妊娠监督
Z35.201 具有胎儿畸形史妊娠监督
Z35.202 具有胎儿先天愚型史者的妊娠监督
Z35.203 具有胎死宫内史妊娠监督
Z35.204 具有胚胎停止发育史妊娠监督
Z35.206 具有新生儿溶血史妊娠监督
Z35.207 具有异位妊娠史妊娠监督
Z35.208 具有死产史妊娠监督
Z35.209 具有新生儿死亡史妊娠监督
Z35.300 具有缺乏产前医疗照顾病史者的妊娠监督
Z35.300x002 妊娠隐瞒者的妊娠监督
Z35.400 具有多胎产者的妊娠监督
Z35.400x001 具有多胎产史的妊娠监督
Z35.401 高龄经产妇妊娠监督
Z35.500 高龄初孕妇的监督
Z35.500x001 高龄初孕妇的妊娠监督
Z35.600 极年轻初孕妇的监督
Z35.600x001 极年轻初孕妇的妊娠监督
Z35.700 由于社会问题引起的高危妊娠监督
Z35.800 高危妊娠监督，其他的
Z35.801 宫颈原位癌妊娠监督
Z35.802 卵巢恶性肿瘤史妊娠监督
Z35.804 近亲婚配妊娠监督
Z35.806 输卵管再通术后妊娠监督
Z35.900 高危妊娠监督
Z36.000 对染色体异常的产前筛查
Z36.001 抽取羊水查染色体
Z36.100 对甲胎蛋白水平升高的产前筛查
Z36.101 抽取羊水查甲胎球蛋白水平
Z36.200 基于羊水穿刺的其他产前筛查
Z36.201 胎儿肌肉活检
Z36.202 胎儿皮肤活检
Z36.300 用超声波和其他物理学方法对畸形的产前筛查
Z36.300x002 超声波胎儿畸形筛查
Z36.301 产前特指物理学方法筛查畸形
Z36.400 用超声波和其他物理学方法对胎儿生长迟缓的产前筛查
Z36.400x001 超声波胎儿生长迟缓筛查
Z36.401 产前物理学方法筛选胎儿生长迟缓
Z36.500 对同种免疫的产前筛查
Z36.800 产前筛查，其他的
Z36.800x001 对血红蛋白病的筛查
Z36.800x002 对血友病的筛查
Z36.801 抽取绒毛查胎儿畸形
Z36.802 胎儿镜检查
Z36.803 羊膜镜检查
Z36.900 产前筛查
Z37.000 单一活产
Z37.000x001 单胎活产
Z37.001 人工授精，单胎活产
Z37.002 试管婴儿，单胎活产
Z37.100 单一死产
Z37.100x002 单胎死产
Z37.200 双胎，均为活产
Z37.200x003 双胎活产
Z37.201 单卵双胎活产
Z37.202 双卵双胎活产
Z37.203 人工授精，双胎活产
Z37.204 试管婴儿，双胎活产
Z37.300 双胎，一为活产，一为死产
Z37.300x001 双胎,一胎活产,一胎死产
Z37.301 双胎，一胎活产，一胎葡萄胎
Z37.302 人工授精，一胎活产，一胎死产
Z37.303 试管婴儿，一胎活产，一胎死产
Z37.400 双胎，均为死产
Z37.400x001 双胎死产
Z37.500 多胎产，均为活产，其他的
Z37.500x001 多胎活产
Z37.501 三胎活产
Z37.502 试管婴儿，三胎活产
Z37.600 多胎产，某些为活产，其他的
Z37.600x001 多胎产,某些为活产
Z37.700 多胎产，均为死产，其他的
Z37.700x001 多胎产死产
Z37.900 分娩的结局
Z37.900x003 珍贵儿
Z38.000 单胎，在医院内出生
Z38.000x001 在医院内出生的单胎活产婴儿
Z38.100 单胎，在医院外出生
Z38.100x001 在医院外出生的单胎活产婴儿
Z38.200 单胎，未特指出生地点
Z38.200x001 未知出生地点的单胎活产婴儿
Z38.300 双胎，在医院内出生
Z38.300x001 在医院内出生的双胎活产婴儿
Z38.400 双胎，在医院外出生
Z38.400x001 在医院外出生的双胎活产婴儿
Z38.500 双胎，未特指出生地点
Z38.500x001 未知出生地点的双胎活产婴儿
Z38.600 多胎，在医院内出生，其他的
Z38.600x001 在医院内出生的多胎活产婴儿
Z38.700 多胎，在医院外出生，其他的
Z38.700x001 在医院外出生的多胎活产婴儿
Z38.800 多胎，其他的
Z38.800x001 未知出生地点的多胎活产婴儿
Z39.000 产后即刻医疗照顾和检查
Z39.000x001 产后医疗照顾
Z39.000x011 在医院产后的医疗照顾
Z39.000x021 在医院外分娩有计划的产后医疗照顾
Z39.000x031 在医院外分娩无计划的产后医疗照顾
Z39.100 授乳母亲的医疗照顾和检查
Z39.100x001 哺乳期的监督
Z39.100x002 授乳的指导
Z39.100x003 授乳母亲的医疗照顾
Z39.200 常规产后随诊
Z39.200x001 产后随诊
Z33.x00 附带妊娠状态
Z33.x00x001 妊娠状态
Z33.x01 人工授精妊娠状态
Z33.x02 试管婴儿妊娠状态
Z33.x03 输卵管绝育术后妊娠状态
Z40.000 与恶性肿瘤有关的危险因素的预防性手术
Z40.000x001 为预防恶性肿瘤的手术医疗
Z40.800 预防性手术，其他的
Z40.900 预防性手术
Z40.900x001 预防性手术医疗
Z41.000 头发移植
Z41.100 为体表不能接受的外貌而进行的其他整形外科手术
Z41.100x002 乳房整形
Z41.100x003 眼皮整形
Z41.100x004 颧骨突出整形
Z41.100x005 颞部凹陷整形
Z41.100x006 低眉弓整形
Z41.100x007 眉凹陷整形
Z41.100x008 眉弓突出整形
Z41.100x009 低额整形
Z41.100x010 颊部凹陷整形
Z41.100x011 臀部扁平整形
Z41.100x012 腿部凹陷整形
Z41.100x013 发际过高整形
Z41.100x014 额部窄整形
Z41.100x015 髋过宽整形
Z41.100x016 眶整形
Z41.100x017 上唇整形
Z41.100x018 下颌整形
Z41.100x019 臀部整形
Z41.100x020 耳垂整形
Z41.100x021 颏部整形
Z41.100x022 腹壁整形
Z41.100x023 鼻整形
Z41.100x024 吸脂
Z41.101 重睑
Z41.102 鼻梁成形
Z41.103 颧骨增高
Z41.104 面部皱纹整容
Z41.105 隆胸
Z41.200 常规和宗教仪式的包皮环切术
Z41.300 穿耳孔
Z41.800 非以改善健康状况为目的的其他操作
Z41.800x002 处女膜修复
Z41.801 文身
Z41.900 非以改善健康状况为目的操作
Z42.000 涉及头和颈整形手术的随诊医疗
Z42.000x002 颌面术后整形
Z42.000x011 开颅术后骨瓣凹陷整形
Z42.000x015 耳术后整形
Z42.000x019 头皮外伤后整形
Z42.001 颅骨缺损修补
Z42.002 面部矫形术后整形
Z42.003 眼睑术后畸形整形
Z42.004 结膜囊瘢痕修复
Z42.005 头颈部瘢痕修复
Z42.006 唇裂术后畸形整形
Z42.007 唇腭裂术后畸形整形
Z42.008 腭裂术后整形
Z42.009 颌面术后畸形整形
Z42.010 耳再造术后整形
Z42.100 涉及乳房整形手术的随诊医疗
Z42.100x001 乳房术后整形
Z42.200 涉及躯干其他部位整形手术的随诊医疗
Z42.200x001 腹部术后整形
Z42.200x002 胸部术后整形
Z42.200x003 背部术后整形
Z42.201 胸部瘢痕修复
Z42.202 腹部瘢痕修复
Z42.203 背部瘢痕修复
Z42.204 臀部瘢痕修复
Z42.205 会阴瘢痕修复
Z42.300 涉及上肢整形手术的随诊医疗
Z42.300x001 上肢术后整形
Z42.301 上肢瘢痕修复
Z42.302 上肢残端修整
Z42.303 臂部瘢痕修复
Z42.304 手部瘢痕修复
Z42.400 涉及下肢整形手术的随诊医疗
Z42.400x001 下肢术后整形
Z42.401 下肢瘢痕修复
Z42.402 足部瘢痕修复
Z42.403 下肢残端修整
Z42.800 涉及身体其他部位整形手术的随诊医疗
Z42.800x001 截肢残端修整
Z42.800x002 肛门术后整形
Z42.801 人工阴道成形术后整形
Z42.900 涉及整形手术的随诊医疗
Z43.000 气管造口维护
Z43.000x002 气管套管拔除
Z43.001 关闭气管造口
Z43.100 胃造口维护
Z43.101 更换胃造瘘导管
Z43.102 关闭胃造口
Z43.200 回肠造口维护
Z43.201 关闭回肠造口
Z43.300 结肠造口维护
Z43.301 关闭结肠造口
Z43.302 巨结肠术后肠造瘘
Z43.400 消化道其他人工造口的维护
Z43.400x002 去除T型引流管
Z43.400x003 T型引流管置换
Z43.400x004 胰管内支架维护
Z43.400x005 胆管内支架维护
Z43.401 关闭消化道人工造口
Z43.402 更换胆管引流管
Z43.403 胆道引流术后T管拔管
Z43.500 膀胱造口维护
Z43.600 泌尿道其他人工造口的维护
Z43.600x002 输尿管造口维护
Z43.601 肾造口维护
Z43.602 取除肾盂造瘘管
Z43.603 取除输尿管支架
Z43.604 尿道造口维护
Z43.700 人工阴道维护
Z43.800 人工造口的维护,其他的
Z43.801 脑室引流管维护
Z43.802 关闭动静脉造口
Z43.900 人工造口的维护
Z43.900x001 人工造口维护
Z44.000 人工臂的（完全）（部分）安装和调整
Z44.000x001 人工臂安装
Z44.000x002 人工臂调整
Z44.100 人工腿的（完全）（部分）安装和调整
Z44.100x001 人工腿的安装
Z44.100x002 人工腿的调整
Z44.200 人工眼的安装和调整
Z44.200x002 人工眼的调整
Z44.201 安装义眼
Z44.300 外部假乳房的安装和调整
Z44.800 安装和调整，其他外部假体装置的
Z44.800x001 骨折外固定装置的安装
Z44.800x002 骨折外固定装置的调整
Z44.900 安装和调整,外部假体装置的
Z45.000 心脏装置的调整和管理
Z45.001 安装心脏起搏器
Z45.002 更换心脏起搏器
Z45.003 更换心脏起搏器电极
Z45.005 更换心脏起搏器脉冲发生器
Z45.006 起搏器安装术后调整
Z45.100 输注泵的调整和管理
Z45.101 取除输注泵
Z45.200 血管通路装置的调整和管理
Z45.201 取除下腔静脉滤器
Z45.202 取除输液港
Z45.300 植入性听力装置的调整和管理
Z45.301 安装人工耳蜗
Z45.302 调整人工耳蜗装置
Z45.303 取除人工耳蜗装置
Z45.304 取除鼓膜置管
Z45.800 调整和管理，其他植入装置的
Z45.800x002 脊柱侧弯术后生长棒调节
Z45.800x006 除颤器更换
Z45.800x007 腹膜透析管取出
Z45.800x011 骨内固定装置调整
Z45.801 安装发音钮
Z45.802 取除喉模
Z45.803 取除胃内支架
Z45.804 更换胆管支架
Z45.805 取除胆管支架
Z45.806 取除宫颈管支架
Z45.807 安装阴道模具
Z45.900 植入装置的调整和管理
Z46.000 眼镜和接触镜片的安装和调整
Z46.100 助听器的安装和调整
Z46.200 有关神经系统和特种感觉的其他装置的安装和调整
Z46.200x001 取出神经系统治疗装置
Z46.200x002 神经刺激器更换
Z46.201 听觉代替装置
Z46.202 视觉代替装置
Z46.300 假牙装置的安装和调整
Z46.300x001 假牙的安装和调整
Z46.400 正牙装置的安装和调整
Z46.500 回肠造口术或其他肠道用具的安装和调整
Z46.500x001 回肠造口的安装和调整
Z46.501 更换空肠造口导管
Z46.502 调整或更换回肠造口导管
Z46.503 调整或更换结肠造口导管
Z46.600 泌尿装置的安装和调整
Z46.600x001 取出输尿管D-J管
Z46.601 更换肾盂造瘘导管
Z46.602 更换输尿管支架
Z46.603 更换膀胱造瘘导管
Z46.700 矫形外科用装置的安装和调整
Z46.701 调整外固定支架
Z46.800 安装和调整，其他特指装置的
Z46.800x001 为肾透析半永久静脉拔管
Z46.800x002 为肾透析的临时静脉拔管
Z46.900 安装和调整
Z47.000 涉及骨折板和其他内固定装置的随诊医疗
Z47.000x002 取出内固定装置
Z47.001 取除骨折内固定装置
Z47.800 矫形外科的随诊医疗，其他特指的
Z47.800x003 合成植入物植入术后随诊医疗
Z47.800x004 乳房假体植入术后随诊医疗
Z47.800x005 隆鼻术后随诊医疗
Z47.800x006 瘢痕切除术后随诊医疗
Z47.800x007 耳再造术后随诊医疗
Z47.800x008 乳房英捷尔法勒注射术后随诊医疗
Z47.800x009 尿道下裂术后随诊医疗
Z47.800x010 鼻再造术后随诊医疗
Z47.800x011 乳房再造术后随诊医疗
Z47.800x012 磨削术后随诊医疗
Z47.800x013 阴道再造术后随诊医疗
Z47.800x014 下颌骨延长器植入术后随诊医疗
Z47.800x015 睑再造术后随诊医疗
Z47.800x016 眼睑整形术后随诊医疗
Z47.800x017 重睑术后随诊医疗
Z47.800x018 吸脂术后随诊医疗
Z47.800x019 整形外科术后随诊医疗
Z47.800x020 尿道术后随诊医疗
Z47.800x021 阴道英捷尔法勒注射术后随诊医疗
Z47.800x022 阴茎再造术后随诊医疗
Z47.800x023 面部除皱术后随诊医疗
Z47.800x024 颏英捷尔法勒注射术后随诊医疗
Z47.800x025 颌骨手术后随诊医疗
Z47.800x026 皮肤英捷尔法勒注射后随诊医疗
Z47.800x027 脂肪注射术后随诊医疗
Z47.800x028 皮管成形术后随诊医疗
Z47.800x029 乳房人工材料注射术后随诊医疗
Z47.800x030 颧骨截骨术后随诊医疗
Z47.800x031 皮肤奥美定注射术后随诊医疗
Z47.800x032 外耳义耳植入术后随诊医疗
Z47.800x033 上颌后缩截骨牵引术后随诊医疗
Z47.800x034 骨固定装置植入术后随诊医疗
Z47.800x035 颏部水平截骨术后随诊医疗
Z47.800x036 扩张器植入术后随诊医疗
Z47.801 更换外固定装置
Z47.802 检查外固定装置
Z47.803 取除外固定装置
Z47.900 矫形外科的随诊医疗
Z48.000 手术敷料和缝线的维护
Z48.000x001 手术后拆除缝线
Z48.000x002 手术后更换敷料
Z48.800 随诊医疗，其他特指手术的
Z48.801 取出眼内硅油
Z48.900 手术的随诊医疗
Z48.900x001 手术后随诊医疗
Z49.000 透析的准备性医疗
Z49.000x002 为肾透析的静脉插管
Z49.000x004 为肾透析的动静脉造瘘
Z49.100 体外透析
Z49.101 血液透析
Z49.200 透析，其他特指的
Z49.201 腹膜透析
Z50.000 心脏病康复
Z50.100 物理治疗，其他的
Z50.100x001 物理治疗
Z50.101 脑出血后物理康复训练
Z50.200 酒精滥用康复
Z50.300 药物滥用康复
Z50.400 心理治疗，不可归类在他处者
Z50.400x001 心理治疗
Z50.500 言语治疗
Z50.501 脑出血后语言康复训练
Z50.600 视轴矫正训练
Z50.700 职业性治疗和职业性康复，不可归类在他处者
Z50.700x001 职业康复训练和治疗
Z50.800 涉及使用其他康复操作的医疗
Z50.800x002 烟草滥用康复
Z50.801 烧伤后康复治疗
Z50.900 涉及使用康复操作的医疗
Z50.900x001 康复医疗
Z51.000 放射治疗疗程
Z51.000x003 放射治疗
Z51.000x008 恶性肿瘤放射性粒子置入治疗
Z51.000x012 恶性肿瘤术中放疗
Z51.000x013 恶性肿瘤终末期放疗
Z51.001 恶性肿瘤术前放射治疗
Z51.002 恶性肿瘤术后放射治疗
Z51.003 恶性肿瘤放射治疗
Z51.100 为肿瘤化学治疗疗程
Z51.100x004 恶性肿瘤终末期化疗
Z51.101 手术前恶性肿瘤化学治疗
Z51.102 手术后恶性肿瘤化学治疗
Z51.103 恶性肿瘤维持性化学治疗
Z51.104 姑息性化疗
Z51.200 化学治疗，其他的
Z51.200x008 化学治疗
Z51.300 （无诊断报告的）输血
Z51.400 为随后治疗的准备医疗，不可归类在他处者
Z51.400x001 自体外周血干细胞动员
Z51.400x002 随后治疗的准备医疗
Z51.400x003 自体血准备
Z51.401 造血干细胞动员
Z51.500 姑息性医疗
Z51.500x001 姑息医疗
Z51.500x002 恶性肿瘤支持治疗
Z51.500x003 恶性肿瘤终末期维持治疗
Z51.600 对变应原脱敏
Z51.800 医疗照顾，其他特指的
Z51.800x001 冲击治疗
Z51.800x092 恶性肿瘤介入治疗
Z51.800x094 恶性肿瘤内分泌治疗
Z51.800x095 恶性肿瘤免疫治疗
Z51.800x096 恶性肿瘤生物治疗
Z51.800x097 恶性肿瘤射频治疗
Z51.800x921 恶性肿瘤冷冻治疗
Z51.800x922 恶性肿瘤灌注治疗
Z51.800x924 恶性肿瘤热疗
Z51.800x925 恶性肿瘤激光治疗
Z51.800x927 恶性肿瘤光动力治疗
Z51.800x951 恶性肿瘤术前免疫治疗
Z51.800x952 恶性肿瘤术后免疫治疗
Z51.800x953 恶性肿瘤终末期免疫治疗
Z51.800x981 恶性肿瘤术前靶向治疗
Z51.800x983 恶性肿瘤终末期靶向治疗
Z51.801 恶性肿瘤靶向治疗
Z51.802 恶性肿瘤中医治疗
Z51.804 肿瘤内分泌治疗
Z51.805 肿瘤术后免疫治疗
Z51.806 肿瘤术后同位素治疗
Z51.807 恶性肿瘤术后靶向治疗
Z51.808 恶性肿瘤术后中医治疗
Z51.809 肿瘤术后内分泌治疗
Z51.810 肿瘤免疫治疗
Z51.811 肿瘤同位素治疗
Z51.900 医疗照顾
Z51.901 对症治疗
Z52.000 供血者
Z52.001 供干细胞者
Z52.100 供皮者
Z52.200 供骨者
Z52.300 供骨髓者
Z52.300x002 骨髓干细胞供者
Z52.400 供肾者
Z52.500 供角膜者
Z52.600 供肝者
Z52.600x001 供肝脏者
Z52.700 供心者
Z52.800 器官和组织的供者,其他的
Z52.800x001 供卵者
Z52.900 器官或组织的供者
Z53.000 由于禁忌证而未进行操作
Z53.000x001 因禁忌症未进行操作
Z53.100 由于信仰或群体压力而使病人决定不进行操作
Z53.100x001 因信仰或群体压力使病人决定不进行操作
Z53.200 由于其他和未特指原因而使病人决定不进行操作
Z53.200x001 因病人原因未进行操作
Z53.800 由于其他原因而未进行操作
Z53.800x001 因病人家属原因未进行操作
Z53.800x002 因医生原因而未进行操作
Z53.800x003 因医疗条件未进行操作
Z53.900 未进行操作
Z53.900x001 未按计划诊疗
Z53.900x002 维持性救治
Z54.000 手术后恢复期
Z54.000x002 睑袋术后恢复期
Z54.000x003 吸脂术后恢复期
Z54.000x004 隆鼻术后恢复期
Z54.000x005 重睑术后恢复期
Z54.000x006 毛发移植术后恢复期
Z54.000x007 瘢痕切除术后恢复期
Z54.000x008 痣切除术后恢复期
Z54.000x009 睑闭合不全矫正术后恢复期
Z54.000x010 开放性外伤术后恢复期
Z54.000x012 面部瘢痕磨削术后恢复期
Z54.000x013 上睑下垂术后恢复期
Z54.000x014 拆线术后恢复期
Z54.000x015 假体取出术后恢复期
Z54.000x016 扩张器植入术后恢复期
Z54.000x017 除皱术后恢复期
Z54.000x018 皮肤异物取出术后恢复期
Z54.000x019 睑外翻术后恢复期
Z54.000x020 隆颏术后恢复期
Z54.000x021 内眦成形术后恢复期
Z54.000x022 骨折术后恢复期
Z54.001 恶性肿瘤术后恢复期
Z54.100 放疗后恢复期
Z54.200 化疗后恢复期
Z54.200x001 恶性肿瘤化学治疗后恢复期
Z54.300 心理治疗后恢复期
Z54.400 骨折治疗后恢复期
Z54.700 联合治疗后恢复期
Z54.800 恢复期，其他治疗后的
Z54.800x001 风疹恢复期
Z54.800x002 肝炎恢复期
Z54.800x003 脊髓灰质炎恢复期
Z54.800x004 脑外伤恢复期
Z54.800x005 脑炎恢复期
Z54.800x006 沙眼恢复期
Z54.800x007 天花恢复期
Z54.800x008 乙肝恢复期
Z54.800x009 脑膜炎恢复期
Z54.800x010 肺炎恢复期
Z54.900 恢复期,治疗后的
Z54.900x001 治疗后恢复期
Z55.000 与文盲和文化水平低有关，具有潜在健康问题
Z55.100 与得不到和未完成教育有关，具有潜在健康问题
Z55.200 与考试不及格有关，具有潜在健康问题
Z55.300 与在校学习落后有关，具有潜在健康问题
Z55.400 与教育失调及与教师和同学不和有关，具有潜在健康问题
Z55.800 与教育和文化素养有关的其他问题，具有潜在健康问题
Z55.900 与教育和文化素养有关的问题，具有潜在健康问题
Z56.000 与失业有关，具有潜在健康问题
Z56.100 与换工作有关，具有潜在健康问题
Z56.200 与失业威胁有关，具有潜在健康问题
Z56.300 与紧张的工作进度有关，具有潜在健康问题
Z56.400 与老板和同事不和有关，具有潜在健康问题
Z56.500 与不合意的工作有关，具有潜在健康问题
Z56.600 与工作有关的其他身体和精神紧张，具有潜在健康问题
Z56.700 与就业有关的其他的问题，具有潜在健康问题
Z57.000 职业性暴露于噪声
Z57.100 职业性暴露于辐射
Z57.200 职业性暴露于粉尘
Z57.201 接触粉尘
Z57.300 职业性暴露于其他大气污染
Z57.400 职业性暴露于农业毒物
Z57.500 职业性暴露于其他工业毒物
Z57.501 接触锰
Z57.502 接触苯
Z57.503 接触铅
Z57.504 接触汞
Z57.505 接触二氯乙烷
Z57.506 接触甲苯二异氢酸
Z57.507 接触二氯油硝基苯
Z57.508 接触汽油
Z57.600 职业性暴露于极端温度
Z57.700 职业性暴露于振动
Z57.800 职业性暴露于其他危险因素
Z57.900 职业性暴露于危险因素
Z58.000 暴露于噪声，具有潜在健康问题
Z58.100 暴露于大气污染，具有潜在健康问题
Z58.200 暴露于水污染，具有潜在健康问题
Z58.300 暴露于土壤污染，具有潜在健康问题
Z58.400 暴露于辐射，具有潜在健康问题
Z58.500 暴露于其他污染，具有潜在健康问题
Z58.600 饮用水供应不足，具有潜在健康问题
Z58.700 暴露于烟草烟雾，具有潜在健康问题
Z58.800 与外界环境有关的其他问题，具有潜在健康问题
Z58.900 与外界环境有关的问题，具有潜在健康问题
Z59.000 与无家可归有关，具有潜在健康问题
Z59.000x001 与无家可归有关的问题
Z59.100 与住房不足有关，具有潜在健康问题
Z59.200 与邻居、房客和房东不和有关，具有潜在健康问题
Z59.300 与在公共机构居住有关，具有潜在健康问题
Z59.400 与缺乏充足的食物有关，具有潜在健康问题
Z59.500 与极端贫穷有关，具有潜在健康问题
Z59.600 与低收入有关，具有潜在健康问题
Z59.700 与社会保险和福利支持不足有关，具有潜在健康问题
Z59.800 与住房和经济情况有关的其他问题，具有潜在健康问题
Z59.900 与住房和经济情况有关的问题，具有潜在健康问题
Z60.000 对生活周期转换的适应问题，具有潜在健康问题
Z60.000x001 对生活周期转换的适应问题
Z60.100 与不定型的养育状况有关，具有潜在健康问题
Z60.100x001 与单亲家庭有关的问题
Z60.200 与独自生活有关，具有潜在健康问题
Z60.200x001 与独自生活有关的问题
Z60.300 与文化适应困难有关，具有潜在健康问题
Z60.300x002 与社会移居者有关的问题
Z60.400 与社会排斥和拒绝有关，具有潜在健康问题
Z60.500 与感觉成为不良歧视和迫害的目标有关，具有潜在健康问题
Z60.800 与社会环境有关的其他问题，具有潜在健康问题
Z60.900 与社会环境有关的问题，具有潜在健康问题
Z61.000 与童年时失去所爱亲属有关，具有潜在健康问题
Z61.000x001 与童年时失去所爱亲属有关的问题
Z61.100 与童年离家有关，具有潜在健康问题
Z61.100x001 与童年离家有关的问题
Z61.200 与童年时家庭关系模式的改变有关，具有潜在健康问题
Z61.200x001 与童年时家庭关系模式改变有关的问题
Z61.300 与童年时导致丧失自尊的事件有关，具有潜在健康问题
Z61.300x001 与童年时导致丧失自尊事件有关的问题
Z61.400 与儿童据说受家族内成员的性虐待有关，具有潜在健康问题
Z61.400x001 与儿童据说受家族内成员的性虐待有关的问题
Z61.500 与儿童据说受家族以外人员的性虐待有关，具有潜在健康问题
Z61.500x001 与儿童据说受家族以外人员的性虐待有关问题
Z61.600 与儿童据说身体被虐待有关，具有潜在健康问题
Z61.600x001 与儿童据说身体被虐待有关的问题
Z61.700 与在童年时受惊吓的经历有关，具有潜在健康问题
Z61.700x001 与童年时受惊吓的经历有关的问题
Z61.800 与童年时其他消极生活事件有关，具有潜在健康问题
Z61.900 与童年时的消极生活事件有关，具有潜在健康问题
Z61.900x001 与童年时消极生活事件有关的问题
Z62.000 与父母监督和管教不足有关，具有潜在健康问题
Z62.000x001 与父母监督和管教不足有关的问题
Z62.100 与父母溺爱有关，具有潜在健康问题
Z62.100x001 与父母溺爱有关的问题
Z62.200 与公共机构的养育有关，具有潜在健康问题
Z62.200x001 与公共机构的养育有关的问题
Z62.300 与敌视儿童和儿童代为受过有关，具有潜在健康问题
Z62.300x001 与敌视儿童和儿童代为受过有关的问题
Z62.400 与对儿童情感的忽视有关，具有潜在健康问题
Z62.400x001 与对儿童情感的忽视有关的问题
Z62.500 与忽视养育有关的其他问题，具有潜在健康问题
Z62.500x001 与缺乏学习和游戏的体验有关的问题
Z62.600 与父母的不适当压力和其他异常性质的养育有关，具有潜在健康问题
Z62.600x001 与父母的不适当压力和异常性质的养育有关的问题
Z62.800 与养育有关的其他特指问题，具有潜在健康问题
Z62.900 与养育有关的问题，具有潜在健康问题
Z63.000 与配偶关系有关的问题，具有潜在健康问题
Z63.100 与父母亲和姻亲关系有关的问题，具有潜在健康问题
Z63.100x001 与亲子有关的问题
Z63.200 与家庭生活不适当有关，具有潜在健康问题
Z63.200x001 与家庭生活不适当有关的问题
Z63.300 与家庭成员缺少有关，具有潜在健康问题
Z63.300x001 与家庭成员缺少有关的问题
Z63.400 与家庭成员失踪和死亡有关，具有潜在健康问题
Z63.400x001 与家庭成员假定的死亡有关的问题
Z63.400x002 与家庭成员失踪有关的问题
Z63.400x003 与家庭成员死亡有关的问题
Z63.500 与分居和离婚使家庭分裂有关，具有潜在健康问题
Z63.500x001 与离婚使家庭分裂有关的问题
Z63.500x002 与分居使家庭分裂有关的问题
Z63.500x003 与疏远有关的问题
Z63.600 与需要在家照料的不能独立生活的亲属有关，具有潜在健康问题
Z63.700 与影响家庭和家属的其他充满压力的生活事件有关，具有潜在健康问题
Z63.700x001 与影响家庭和家属的充满压力的生活事件有关的问题
Z63.700x011 与家庭中的酒精中毒有关的问题
Z63.700x021 与家庭中的赌博有关的问题
